Nombre,Curso,Calificacion
Juan,Matematicas,80
Ana,Historia,90
Pedro,Ciencias,70
Carlos,Literatura,64
Carlos,Química,77
Laura,Literatura,71
María,Ciencias,73
Fernanda,Literatura,96
Ana,Biología,82
Pedro,Matematicas,72
Jorge,Matematicas,85
Jorge,Literatura,94
Lucía,Biología,75
Carlos,Biología,91
Ana,Sin curso Asignado,83
Lucía,Historia,92
Desconocido,Geografía,73
Jorge,Física,65
María,Biología,96
Jorge,Ciencias,91
Lucía,Química,63
Juan,Matematicas,91
Luis,Física,83
Luis,Ciencias,77
Lucía,Geografía,85
Luis,Historia,77
Carlos,Biología,62
Laura,Historia,83
Fernanda,Física,79
Laura,Geografía,95
María,Matematicas,94
Ana,Química,98
Juan,Física,95
Juan,Matematicas,61
Luis,Física,81
Pedro,Química,63
María,Biología,71
Laura,Matematicas,61
Ana,Biología,85
Jorge,Matematicas,95
Ana,Ciencias,94
Juan,Historia,61
Jorge,Química,97
Ana,Geografía,74
Jorge,Historia,62
Laura,Geografía,89
Fernanda,Física,60
Juan,Historia,92
Laura,Física,63
Jorge,Matematicas,61
María,Matematicas,86
Luis,Biología,75
Ana,Historia,66
Carlos,Historia,95
Lucía,Matematicas,60
Ana,Literatura,87
Fernanda,Sin curso Asignado,79
Desconocido,Geografía,96
Pedro,Geografía,70
Juan,Historia,99
Carlos,Química,64
Fernanda,Geografía,100
Fernanda,Ciencias,91
Ana,Ciencias,90
Fernanda,Química,84
Pedro,Ciencias,84
Pedro,Historia,79
Lucía,Ciencias,74
Lucía,Ciencias,86
Ana,Historia,65
Jorge,Geografía,90
Pedro,Historia,82
Lucía,Física,79
Laura,Historia,61
Juan,Literatura,92
Fernanda,Geografía,100
Lucía,Geografía,80
Juan,Matematicas,92
Laura,Química,73
María,Geografía,80
Luis,Geografía,84
Laura,Física,69
Jorge,Matematicas,61
Lucía,Historia,77
Ana,Literatura,72
Pedro,Geografía,61
Ana,Literatura,81
Pedro,Geografía,87
Lucía,Matematicas,99
Carlos,Biología,75
Laura,Literatura,96
María,Biología,66
Pedro,Física,70
Ana,Biología,72
Pedro,Geografía,88
Ana,Química,61
María,Matematicas,92
Fernanda,Geografía,60
María,Ciencias,63
Juan,Literatura,85
Lucía,Física,64
Laura,Geografía,95
Juan,Biología,67
